
| Partition / LV          | Size     | FSType | Mount Point / Name                  | Utility / Description                                                                |
|-------------------------|----------|--------|-------------------------------------|--------------------------------------------------------------------------------------|
| nvme0n1p1               | 1 GB     | vfat   | /boot/firmware                      | Ubuntu boot + multiple kernels                                                       |
| nvme0n1p2               | 100 GB   | ext4   | /                                   | OS + libs + AI frameworks (Hailo SDK, PyTorch) + AWS CLI + Terraform + Azure CLI     |
| nvme0n1p3               | 16 GB    | swap   | swap                                | Dedicated Swap ML/Hailo (2× RAM, except LVM for performances)                        |
| nvme0n1p4               | 5 GB     | ext4   | /recovery                           | Emergency rescue : Backup LUKS header + scripts repair + mini-tools (cryptsetup, lvm2, btrfs-progs, ddrescue) |
| nvme0n1p5               | 838 GB   | LUKS   | cryptdata (encrypted)               | LUKS encryption                                                                      |
| ├─ vg-main              | 838 GB   | LVM    | Volume Group                        | Group LVM Volume on cryptdata                                                        |
| ├─ lv-var               | 20 GB    | ext4   | /var                                | System cache (APT, systemd, tmp)                                                     |
| ├─ lv-logs              | 30 GB    | ext4   | /var/log                            | Logs ESP32 + HA + Influx + cloud ops (7 days rotation, persistant journald)          |
| ├─ lv-influxdb          | 120 GB   | xfs    | /var/lib/influxdb                   | IoT Timeseries (tier 1-3 : 48h-30d ; tier 4 >30j S3 export daily through cron/MinIO gateway) |
| ├─ lv-containers        | 80 GB    | xfs    | /var/lib/containers                 | Docker/Podman (HA, MQTT, Grafana, Nextcloud, MinIO, Prometheus – except DB)          |
| ├─ lv-grafana           | 10 GB    | ext4   | /var/lib/grafana                    | Dashboards + provisioning + plugins + SQLite                                         |
| ├─ lv-ml-models         | 60 GB    | xfs    | /mnt/ml-models                      | production/ (active models Hailo)<br>staging/ (A/B testing)<br>archived/ (rollback)<br>datasets/ (training data local edge) |
| ├─ lv-ml-cache          | 40 GB    | xfs    | /mnt/ml-cache                       | staging/ (validation SageMaker-like)<br>training_data/ (export cloud)<br>logs/ (TensorBoard, ML metrics) |
| ├─ lv-cloud-sync        | 80 GB    | xfs    | /mnt/cloud-sync                     | pending/ (Influx export in progress)<br>uploading/ (upload S3/Azure en cours)<br>uploaded/ (success, retention 7d)<br>failed/ (retry + Prometheus alerts) |
| ├─ lv-scratch           | 60 GB    | xfs    | /mnt/scratch                        | Buffer preprocessing (nowcasting camera images, device electrical signatures)        |
| ├─ lv-data              | 338 GB   | btrfs  | /mnt/data                           | @iot-hot/ (active data 7-30d, quota 100 GiB)<br>@iot-archives (long term multi-year, compression zstd:3 max)<br>@backups (exported snapshots LVM, send/receive to cloud)<br>@personal (docs, source code) |
